,Genre,Gross,actors,directors,producers,rel_date,title,writers
0,Romantic Comedy,80452000,Claire Danes/Diane Keaton/Rachel McAdams/Craig T. Nelson/Sarah Jessica Parker/Luke Wilson,Thomas Bezucha,Michael London,2005-12-16,The Family Stone,Thomas Bezucha
1,Romantic Thriller,12400,Antonio Banderas/Emma Thompson,Christopher Hampton,,2004-06-11,Imagining Argentina,Christopher Hampton
2,Comedy Thriller,17962600,Jon Favreau/Cameron Diaz,Peter Berg,Ted Field/Scott Kroopf,1998-11-27,Very Bad Things,
3,Comedy,81985800,Adam Sandler/Katie Holmes/Al Pacino/Nick Swardson/Eugenio Derbez,Dennis Dugan,Todd Garner/Jack Giarraputo/Tim Herlihy/Steve Koren/Adam Sandler/Robert Smigel,2011-11-11,Jack and Jill,Steve Koren
4,Music Drama,26020000,Whitney Houston/Derek Luke,Salim Akil,Whitney Houston/T.D. Jakes,2012-08-17,Sparkle,Mara Brock Akil
5,Drama,9600,Stanley Tucci,Stanley Tucci,,2009-09-25,Blind Date,
6,Horror,27436300,Olivia Wilde/Mark Duplass,David Gelb,Jason Blum,2015-02-27,The Lazarus Effect,
7,Action,354593400,Tom Cruise/Jon Voight,Brian De Palma,Tom Cruise/Paula Wagner,1996-05-22,Mission: Impossible,David Koepp/Steven Zaillian
8,Unknown,223700,Sigourney Weaver,Douglas McGrath,Susan Cartsonis,2001-03-09,Company Man,
9,Sci-Fi Fantasy,13397200,Hugh Jackman/Rachel Weisz,Darren Aronofsky,Arnon Milchan/Nick Wechsler,2006-11-22,The Fountain,Darren Aronofsky
10,Period Drama,100639100,Winona Ryder/Kirsten Dunst/Claire Danes/Christian Bale/Susan Sarandon,Gillian Armstrong,Denise Di Novi,1994-12-21,Little Women,
11,Sci-Fi Comedy,82953000,Nicole Kidman/Matthew Broderick/Christopher Walken/Bette Midler/Glenn Close,Frank Oz,Donald De Line/Scott Rudin,2004-06-11,The Stepford Wives,Paul Rudnick
12,Foreign / Action,7271600,Zhang Ziyi,Wong Kar Wai,Wong Kar Wai,2013-08-23,The Grandmaster,Wong Kar Wai
13,Comedy,7186000,Lily Tomlin,Paul Weitz,,2015-08-21,Grandma,Paul Weitz
14,Animation,379899700,Tim Allen/Tom Hanks,John Lasseter,,1995-11-22,Toy Story,Joel Cohen/Pete Docter/John Lasseter/Alec Sokolow/Andrew Stanton/Joss Whedon
15,Animation,373995900,Mindy Kaling/Diane Lane,Pete Docter,John Lasseter/Jonas Rivera,2015-06-19,Inside Out,Josh Cooley/Pete Docter/Meg LaFauve
16,Crime Thriller,6786300,Gary Oldman,Peter Medak,Tim Bevan/Eric Fellner,1994-02-04,Romeo Is Bleeding,
17,War,13736300,Sam Worthington/Benjamin Bratt/James Franco,John Dahl,Lawrence Bender,2005-08-12,The Great Raid,Carlo Bernard/Doug Miro
18,Drama,150200,Holly Hunter/Chris Messina/Al Pacino,David Gordon Green,,2015-06-19,Manglehorn,
19,Drama,131977600,Al Pacino/Chris O'Donnell/Philip Seymour Hoffman,Martin Brest,,1992-12-23,Scent of a Woman,
20,Horror,36048400,Rose Byrne/Jeremy Renner/Idris Elba/Imogen Poots,Juan Carlos Fresnadillo,Danny Boyle/Alex Garland,2007-05-11,28 Weeks Later,Juan Carlos Fresnadillo/Rowan Joffe
21,Western,38740500,Tommy Lee Jones/Cate Blanchett/Aaron Eckhart,Ron Howard,Brian Grazer/Ron Howard,2003-11-26,The Missing,
22,Animation,409536900,Mike Myers/Cameron Diaz/Eddie Murphy,Andrew Adamson,Jeffrey Katzenberg,2001-05-16,Shrek,Ted Elliott/Terry Rossio
23,Fantasy Drama,82003900,Brad Pitt/Anthony Hopkins,Martin Brest,,1998-11-13,Meet Joe Black,
24,Family Comedy,28342400,,Tim Hill,Stephanie Allain/Kristine Belson,1999-07-14,Muppets from Space,
25,Thriller,64455800,Harrison Ford/Paul Bettany/Virginia Madsen,Richard Loncraine,Dana Goldberg,2006-02-10,Firewall,
26,Drama,17777700,Michael B. Jordan,Ryan Coogler,Forest Whitaker,2013-07-12,Fruitvale Station,Ryan Coogler
27,Comedy,131047500,Bill Murray,Frank Oz,Laura Ziskin,1991-05-17,What About Bob?,Alvin Sargent*
28,Drama,3069900,Greg Kinnear/Willem Dafoe/Maria Bello,Paul Schrader,Trevor Macy,2002-10-18,Auto Focus,
29,Drama,154900,Bryan Cranston/Helen Mirren,Taylor Hackford,Taylor Hackford,2010-06-30,Love Ranch,
30,Sports Drama,29984900,Kevin Costner/Jennifer Garner/Frank Langella/Chadwick Boseman/Sean 'P. Diddy' Combs,Ivan Reitman,Ali Bell/Joe Medjuck/Tom Pollock/Gigi Pritzker/Ivan Reitman,2014-04-11,Draft Day,Rajiv Joseph/Scott Rothman
31,Fantasy Drama,3230400,Anthony Hopkins/Jonathan Rhys Meyers,Julie Taymor,Julie Taymor,1999-12-25,Titus,Julie Taymor
32,Foreign,12389200,Franka Potente,Tom Tykwer,,1999-06-18,Run Lola Run,
33,Romantic Comedy,42072400,Michael Keaton/Christopher Reeve,Ron Underwood,,1994-12-16,Speechless,
34,Sports Drama,185637100,Denzel Washington/Hayden Panettiere/Kate Bosworth,Boaz Yakin,Jerry Bruckheimer,2000-09-29,Remember the Titans,
35,Action / Crime,100643000,Mark Wahlberg/Tyrese Gibson/Garrett Hedlund/Terrence Howard/Taraji P. Henson,John Singleton,Lorenzo di Bonaventura,2005-08-12,Four Brothers,
36,Comedy,21853800,Rob Riggle/Wilmer Valderrama/Kristen Wiig,Paul Feig,Lauren Schuler Donner,2006-12-08,Unaccompanied Minors,
37,Comedy,108551700,Luke Wilson/Will Ferrell/Vince Vaughn,Todd Phillips,Joe Medjuck/Todd Phillips/Tom Pollock/Ivan Reitman,2003-02-21,Old School,Todd Phillips
38,Horror,28792400,Karen Gillan/Brenton Thwaites/Katee Sackhoff,Mike Flanagan,Marc D. Evans/Trevor Macy,2014-04-11,Oculus,Mike Flanagan/Jeff Howard
39,Comedy,68160400,Kate Hudson/Anne Hathaway/Chris Pratt,Gary Winick,Arnon Milchan/Julie Yorn,2009-01-09,Bride Wars,
40,Horror,49534300,Gary Oldman/Cam Gigandet/Idris Elba/Carla Gugino,David S. Goyer,Michael Bay/Andrew Form/Brad Fuller,2009-01-09,The Unborn,David S. Goyer
