,a_exp,a_score,a_star,d_exp,d_score,da_coop,dp_coop,pw_coop,title
0,8.333333333333334,646.0069,1,1.0,287.9148,0.3333333333333333,0.0,0.0,City by the Sea
1,1.0,610.5387000000001,1,1.0,97.39,0.0,0.0,0.0,City of Ember
2,1.0,778.859075,1,0.0,253.9682,0.0,0.0,0.0,Clash of the Titans
3,2.5,233.39849999999998,0,6.0,160.241,0.0,0.0,0.0,Clerks II
4,8.0,1106.4217,2,2.0,477.9162,0.6666666666666666,0.5,0.2,Click
5,1.5,1044.15775,2,0.0,459.8629,0.0,0.0,0.0,Closer
6,0.0,280.02165,0,0.0,0.0,0.0,0.0,0.0,Cloudy with a Chance of Meatballs
7,0.5,190.7443,0,0.0,0.0,0.0,0.0,0.0,Cloverfield
8,2.5,1574.24515,1,2.0,199.6957,0.0,0.0,0.3333333333333333,Coach Carter
9,0.25,590.3858749999999,1,2.0,289.7409,0.25,0.3333333333333333,0.0,Cold Mountain
10,0.5,945.596775,1,1.0,269.7848,0.4,0.0,0.0,Collateral
11,4.0,960.7579499999999,1,3.0,725.3368,0.0,0.0,0.0,Collateral Damage
12,0.0,1846.6414,1,1.0,38.2524,0.0,1.0,3.0,Colombiana
13,0.5,335.69295,0,2.0,185.1293,0.0,0.0,0.0,The Company
14,3.25,499.188625,0,0.0,0.0,0.0,0.0,0.0,The Company Men
15,1.0,90.27835,0,0.0,128.5761,0.0,0.0,0.0,Conan the Barbarian
16,3.0,1049.0305333333333,1,1.0,0.6779,0.0,0.0,0.0,Concussion
17,6.25,1281.7207,3,0.0,0.0,0.0,0.0,0.0,Confessions of a Dangerous Mind
18,1.25,526.015425,1,3.0,117.5559,0.0,0.0,0.0,Confidence
19,0.75,440.20369999999997,0,2.0,146.9948,0.25,0.0,0.0,The Conjuring
20,1.6666666666666667,369.79103333333336,0,0.0,207.2185,0.0,0.0,0.0,Connie and Carla
21,2.25,813.9598249999999,1,2.0,68.5387,0.0,0.0,0.0,The Conspirator
22,0.5,687.4588249999999,1,0.0,0.0,0.0,0.0,0.0,Constantine
23,4.0,1223.26255,2,0.0,1058.4949,0.5,2.25,0.4,Contagion
24,3.25,358.1284,1,0.0,0.0,0.0,0.0,0.0,The Contender
25,2.25,939.9237499999999,2,0.0,0.0,0.0,0.0,0.0,Contraband
26,3.75,677.45505,1,4.0,203.2041,0.0,0.0,0.0,Cop Out
27,0.0,668.0763,0,0.0,8.2805,0.0,0.0,0.0,Coraline
28,0.75,751.891775,1,1.0,388.8144,0.0,0.0,0.0,The Counselor
29,0.0,245.4110333333333,0,2.0,526.9085,0.0,0.3333333333333333,0.0,The Count of Monte Cristo
30,1.3333333333333333,337.2643,0,0.0,0.0,0.0,0.0,0.0,Country Strong
31,2.0,53.8013,0,2.0,53.8013,0.0,2.0,2.0,Courageous
32,1.75,552.536825,0,1.0,680.1577,0.0,0.0,0.1702127659574468,Cowboys & Aliens
33,2.5,553.4581499999999,0,1.0,169.1237,1.0,2.0,0.0,Cradle 2 the Grave
34,6.0,471.2084,0,0.0,0.0,0.0,0.0,0.0,Crank
35,2.25,953.7797499999999,2,0.0,0.0,0.0,0.0,0.0,Crash
36,4.75,705.5828250000001,0,0.0,0.0,0.0,0.0,0.0,Crazy Heart
37,3.25,677.036125,1,0.0,0.0,0.0,0.0,0.0,"Crazy, Stupid, Love."
38,0.0,749.2642,1,0.0,0.0,0.0,0.0,0.0,crazy/beautiful
39,0.6666666666666666,267.60519999999997,0,1.0,17.7777,0.3333333333333333,0.0,0.0,Creed
40,0.3333333333333333,762.2509333333334,0,2.0,287.2277,0.0,1.0,1.0,Crimson Peak
41,0.25,732.656875,1,1.0,136.66235,0.0,0.25,0.25,The Croods
42,1.0,40.7069,0,0.0,99.8663,0.0,0.0,0.0,"Crouching Tiger, Hidden Dragon"
43,4.75,1075.05625,2,0.0,297.9108,0.2,1.0,0.3333333333333333,The Curious Case of Benjamin Button
44,4.333333333333333,478.45616666666666,1,11.0,161.4607,0.5,0.0,0.0,The Curse of the Jade Scorpion
45,1.0,223.41504999999998,0,4.0,592.8225,0.0,0.0,0.0,Cursed
46,6.333333333333333,897.4576666666667,1,1.0,0.169,0.0,0.0,0.0,Cyrus
47,1.5,453.57169999999996,0,0.0,0.0,0.0,0.0,0.0,The Cell
48,1.0,438.200625,1,0.0,64.2104,0.0,0.0,0.0,Cellular
49,5.75,614.8162,1,3.0,460.1506,0.0,0.0,0.0,The Change-Up
50,0.6666666666666666,664.5936333333334,1,4.0,731.0166,0.0,1.0,0.0,Changeling
51,2.5,927.49085,2,1.0,236.8431,0.5,0.0,0.0,Chappie
52,0.3333333333333333,523.3296333333333,1,0.0,624.9462,1.3333333333333333,0.0,0.0,Charlie and the Chocolate Factory
53,0.6666666666666666,150.78583333333333,0,0.0,7.1153,0.0,0.0,0.0,Charlie St. Cloud
54,4.75,1399.512575,3,1.0,372.2081,0.2,0.0,0.0,Charlie Wilson's War
55,3.0,559.3283,2,0.0,0.0,0.0,0.0,0.0,Charlie's Angels
56,5.25,980.550125,2,2.0,201.0991,0.6,0.0,0.0,Charlie's Angels: Full Throttle
57,0.0,1044.4781,0,2.0,215.60575,0.0,0.0,0.0,Chasing Mavericks
58,1.5,547.263475,1,0.0,0.0,0.0,0.0,0.0,Cheaper by the Dozen
59,1.6666666666666667,611.0859333333333,1,1.0,217.7606,0.0,0.0,0.0,Cheri
60,0.0,1277.8054,1,0.0,0.0,0.0,0.0,0.0,Chicken Run
61,2.25,536.94805,1,0.0,396.7766,0.0,0.0,0.0,Children of Men
62,2.0,750.316,1,0.0,0.0,0.0,0.0,0.0,Chloe
63,0.25,272.84659999999997,0,0.0,152.603,0.25,0.0,0.0,Chocolat
64,0.5,975.4914,2,1.0,942.4805,0.0,0.0,0.0,A Christmas Carol
65,2.0,716.0084499999999,1,1.0,143.223,0.0,0.0,0.0,Christmas with the Kranks
66,0.3333333333333333,90.17623333333334,0,1.0,208.9966,0.0,0.0,0.0,Chronicle
67,0.0,0.0,0,1.0,1416.0639,0.0,1.0,1.0,The Chronicles of Narnia: Prince Caspian
68,0.0,248.5478,0,0.0,409.5369,0.0,0.0,0.0,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
69,2.0,219.4443,0,0.0,308.0273,0.0,0.0,1.0,The Chronicles of Narnia: The Voyage of the Dawn Treader
70,0.25,667.543225,1,2.0,91.5037,0.2,0.75,0.75,The Chronicles of Riddick
71,2.6666666666666665,2180.8085333333333,3,0.0,194.9949,0.3333333333333333,0.0,0.0,Cinderella
72,3.3333333333333335,888.1348333333334,1,2.0,1398.9445,0.3333333333333333,3.5,0.6666666666666666,Cinderella Man
73,0.0,935.511575,1,0.0,406.1292,0.2,0.0,0.0,Cirque du Freak: The Vampire's Assistant
74,0.75,1563.96315,2,2.0,1318.5094,0.5,6.0,1.0,The Da Vinci Code
75,7.0,1822.9183,1,1.0,264.9306,1.0,0.3333333333333333,0.0,Daddy Day Care
76,1.6666666666666667,585.0443666666666,0,1.0,12.0796,0.0,0.0,0.0,Dallas Buyers Club
77,5.0,469.519975,0,0.0,0.0,0.0,0.0,0.0,Danny Collins
78,0.5,510.938625,2,0.0,33.7046,0.0,0.0,0.0,Daredevil
79,6.0,982.4537666666665,1,4.0,141.3343,1.3333333333333333,0.6666666666666666,0.2,The Darjeeling Limited
80,3.25,699.819675,1,2.0,487.046,0.8571428571428571,2.0,0.8,The Dark Knight
81,4.25,1227.836525,2,5.0,1448.9213,1.75,3.0,1.8571428571428572,The Dark Knight Rises
82,0.5,1320.7425250000001,2,0.0,1083.6942,1.6666666666666667,0.0,0.0,Dark Shadows
83,1.0,218.4993,0,0.0,0.0,0.0,0.0,0.0,The Darkest Hour
84,6.5,543.2259,0,0.0,0.0,0.0,0.0,0.0,Date Movie
85,3.0,804.1133,2,4.0,775.813,0.0,0.0,0.0,Date Night
